rank,vehicle,status,image_url,image_file,image_source_url,image_source_type,image_review_status,recommended_action
1,테슬라 Model Y,approved,https://digitalassets.tesla.com/tesla-contents/image/upload/f_auto%2Cq_auto/Model-Y-2-Specs-LR-AWD-Desktop-KR.png,,https://www.tesla.com/ko_kr/modely,official_site,approved,ready
2,기아 쏘렌토,approved,https://www.hyundaimotorgroup.com/image/upload/asset_library/MDA00000000000040413/bca92877fb8e4dc786a40be04246d481.jpg,,https://www.hyundaimotorgroup.com/ko/news/CONT0000000000102538,official_newsroom,approved,ready
3,현대 더 뉴 그랜저,approved,https://www.hyundaimotorgroup.com/image/upload/asset_library/MDA00000000000078838/72dabdc6092f4644b18f9ece68bd5a1d.jpg,,https://www.hyundaimotorgroup.com/ko/news/hyundai-new-grandeur-design-reveal,official_newsroom,approved,ready
4,기아 카니발,approved,https://www.hyundaimotorgroup.com/image/upload/asset_library/MDA00000000000066415/a4eacd7bc434453391b974d6ccd14ae7.jpg,,https://www.hyundaimotorgroup.com/ko/news/CONT0000000000183309,official_newsroom,approved,ready
5,기아 스포티지,approved,https://www.hyundaimotorgroup.com/image/upload/asset_library/MDA00000000000055596/f5032236de1845668952429b49fed1a1.jpg,,https://www.hyundaimotorgroup.com/ko/news/CONT0000000000163986,official_newsroom,approved,ready
6,현대 포터2,approved,https://www.hyundaimotorgroup.com/image/upload/asset_library/MDA00000000000073560/0a60c35f2a9047259d3e9aa11933836a.jpg,,https://www.hyundaimotorgroup.com/ko/news/CONT0000000000196277,official_newsroom,approved,ready
7,현대 싼타페,approved,https://www.hyundaimotorgroup.com/image/upload/asset_library/MDA00000000000066001/d794bf4766ef47eb8ad8a13f8e4f80e2.jpg,,https://www.hyundaimotorgroup.com/ko/news/CONT0000000000182689,official_newsroom,approved,ready
8,기아 셀토스,approved,https://www.kia.com/content/dam/kwp/kr/ko/vehicles/represent/krst290/seltos_s_swp.png?imwidth=800,,https://www.kia.com/kr/vehicles/seltos/features,official_site,approved,ready
9,기아 EV3,approved,https://www.kia.com/content/dam/kwp/kr/ko/vehicles/represent/krsv292/ev3_s_ag3.png?imwidth=800,,https://www.kia.com/kr/vehicles/ev3/features,official_site,approved,ready
10,기아 EV5,approved,https://www.kia.com/content/dam/kwp/kr/ko/vehicles/represent/krov262/ev5_ovjj5va31_a_swp.png?imwidth=800,,https://www.kia.com/kr/vehicles/ev5/features,official_site,approved,ready
11,현대 쏘나타 디 엣지,approved,https://www.hyundaimotorgroup.com/image/upload/asset_library/MDA00000000000070421/99fc6d4804ec46b2a2ef88726195d0a1.jpg,,https://www.hyundaimotorgroup.com/ko/news/CONT0000000000188025,official_newsroom,approved,ready
12,기아 레이,approved,https://www.kia.com/content/dam/kwp/kr/ko/vehicles/represent/krtm257/ray_s_m9y.png?imwidth=800,,https://www.kia.com/kr/vehicles/ray/features,official_site,approved,ready
13,기아 봉고 3,approved,https://www.kia.com/content/dam/kwp/kr/ko/vehicles/represent/krb1183/bongo3_s_ud.png?imwidth=800,,https://www.kia.com/kr/vehicles/bongo3/features,official_site,approved,ready
14,기아 K8,approved,https://www.kia.com/content/dam/kwp/kr/ko/vehicles/represent/krgl301/k8_s_byg.png?imwidth=800,,https://www.kia.com/kr/vehicles/k8/features,official_site,approved,ready
15,기아 K5,approved,https://www.kia.com/content/dam/kwp/kr/ko/vehicles/represent/krdl308/k5_s_c7s.png?imwidth=800,,https://www.kia.com/kr/vehicles/k5/features,official_site,approved,ready
16,BMW 5 Series,approved,https://bmw.scene7.com/is/image/BMW/g60_ice_driving-dynamics_dsk_fb_en?fmt=webp&qlt=80&wid=1024,,https://www.bmw.co.kr/ko/all-models/5-series/sedan/bmw-5-series-sedan-overview.html,official_site,approved,ready
17,현대 디 올 뉴 팰리세이드,approved,https://www.hyundai.com/contents/repn-car/side-45/meta-palisade-25fc-45side.png,,https://www.hyundai.com/kr/ko/e/vehicles/palisade/intro,official_site,approved,ready
18,기아 PV5,approved,https://www.kia.com/content/dam/kwp/kr/ko/pbv/vehicle/pv5-cargo/content/kia_pv5_cargo_usp_3_1_pc.jpg,,https://www.kia.com/kr/pbv/vehicles/pv5-cargo/features,official_site,approved,ready
19,현대 더 뉴 스타리아,approved,https://www.hyundai.com/contents/repn-car/side-45/staria-26pe-45side.png,,https://www.hyundai.com/kr/ko/e/vehicles/staria/intro,official_site,approved,ready
20,현대 버스/트럭,approved,https://www.hyundai.com/ccontents/carmng/KV00000515/mighty-key-visual.jpg,,https://www.hyundai.com/kr/ko/c/products/truck/mighty,official_site,approved,ready
21,벤츠 E-Class,needs_source_type,https://autoimg.danawa.com/photo/4516/model_600.png,,https://auto.danawa.com/auto/?Model=4516&Work=model,trusted_auto_portal,approved,"set image_source_type to official_newsroom, official_site, official_press_release, or manual"
22,기아 모닝,approved,https://www.kia.com/content/dam/kwp/kr/ko/vehicles/represent/krja305/morning_s_a2g.png?imwidth=800,,https://www.kia.com/kr/vehicles/morning/features,official_site,approved,ready
23,제네시스 G80,approved,https://www.hyundaimotorgroup.com/image/upload/asset_library/MDA00000000000053750/68f31450859a41ca85271679a023d921.jpg,,https://www.hyundaimotorgroup.com/ko/news/CONT0000000000160425,official_newsroom,approved,ready
24,현대 아이오닉 5,approved,https://www.hyundai.com/contents/repn-car/side-45/ioniq5-27my-45side.png,,https://www.hyundai.com/kr/ko/e/vehicles/ioniq5/intro,official_site,approved,ready
25,제네시스 GV70,approved,https://www.hyundaimotorgroup.com/image/upload/asset_library/MDA00000000000081676/a8c1afe7b6eb4a658cbdd8e83a8d649f.jpg,,https://www.hyundaimotorgroup.com/ko/news/genesis-2027-gv70-graphite-package,official_newsroom,approved,ready
26,제네시스 GV80,approved,https://www.hyundaimotorgroup.com/image/upload/asset_library/MDA00000000000054333/5d59439a4e7e49c7b883ef6315ea5aae.jpg,,https://www.hyundaimotorgroup.com/ko/news/CONT0000000000161667,official_newsroom,approved,ready
27,BYD Dolphin,approved,https://www.bydauto.kr/static/images/model/byd_dolphin/spac_img1_2.png,,https://www.bydauto.kr/car/byd-dolphin,official_site,approved,ready
28,기아 레이 EV,approved,https://www.kia.com/content/dam/kwp/kr/ko/vehicles/represent/krtm258/ray-ev_s_eu3.png?imwidth=800,,https://www.kia.com/kr/vehicles/ray-ev/features,official_site,approved,ready
29,기아 니로,approved,https://www.kia.com/content/dam/kwp/kr/ko/vehicles/represent/krsg300/niro-hybrid_s_cge.png?imwidth=800,,https://www.kia.com/kr/vehicles/niro/features,official_site,approved,ready
