rank,vehicle,status,image_url,image_file,image_source_url,image_source_type,image_review_status,recommended_action
30,르노 그랑 콜레오스,approved,https://cdn.renault.co.kr/upload/asset/koleos/main_off.webp,,https://www.renault.co.kr/ko/side/catalog_download.jsp,official_site,approved,ready
31,BYD SEALION 7,approved,https://www.bydauto.kr/static/images/model/byd_sealion7/spac_img1_2.png,,https://www.bydauto.kr/car/byd-sealion7,official_site,approved,ready
32,현대 아반떼,approved,https://www.hyundaimotorgroup.com/image/upload/asset_library/MDA00000000000061388/bf7b014705c64abdbe8690f2ef2a87ad.jpg,,https://www.hyundaimotorgroup.com/ko/news/CONT0000000000174496,official_newsroom,approved,ready
33,현대 아이오닉 9,approved,https://www.hyundai.com/contents/repn-car/side-45/ioniq9-27my-45side.png,,https://www.hyundai.com/kr/ko/e/vehicles/ioniq9/intro,official_site,approved,ready
34,현대 코나,approved,https://www.hyundai.com/contents/repn-car/side-45/kona-27my-45side.png,,https://www.hyundai.com/kr/ko/e/vehicles/kona/intro,official_site,approved,ready
35,기아 EV4,approved,https://www.kia.com/content/dam/kwp/kr/ko/vehicles/represent/krct294/ev4_s_swp.png?imwidth=800,,https://www.kia.com/kr/vehicles/ev4/features,official_site,approved,ready
36,현대 캐스퍼,approved,https://www.hyundaimotorgroup.com/image/upload/asset_library/MDA00000000000064744/1b6f401b5a914ab9bf3b23b8581aabf9.jpg,,https://www.hyundaimotorgroup.com/ko/news/CONT0000000000180743,official_newsroom,approved,ready
37,테슬라 Model 3,needs_source_type,https://autoimg.danawa.com/photo/4610/model_600.png,,https://auto.danawa.com/auto/?Model=4610&Work=model,trusted_auto_portal,approved,"set image_source_type to official_newsroom, official_site, official_press_release, or manual"
38,BMW X3,approved,https://bmw.scene7.com/is/image/BMW/g45_ice_intro-1%3A16to7?fit=constrain%2C1&fmt=webp&wid=2560,,https://www.bmw.co.kr/ko/all-models/x-series/x3/bmw-x3.html,official_site,approved,ready
39,쉐보레 트랙스 크로스오버,approved,https://www.chevrolet.co.kr/content/dam/chevrolet/as/kr/ko/index/suvs/2026/trax/masthead/v3/trax-mast-l-xl.jpg?imwidth=1200,,https://www.chevrolet.co.kr/cuvs/trax-crossover,official_site,approved,ready
40,현대 디 올 뉴 아반떼,approved,https://www.hyundai.com/contents/repn-car/side-45/avante-27fc-45side.png,,https://www.hyundai.com/kr/ko/vehicles/avante,official_site,approved,ready
41,벤츠 GLC-Class,approved,https://www.mercedes-benz.co.kr/content/dam/hq/passengercars/cars/glc/suv-x254/modeloverview/images/mercedes-benz-glc-suv-x254-modeloverview-696x392-05-2022.png,,https://www.mercedes-benz.co.kr/passengercars/models/suv/glc/overview.html,official_site,approved,ready
42,KGM 티볼리,approved,https://www.kg-mobility.com/images/od/img-car-tivoli.png,,https://www.kg-mobility.com/pr/model/show-room/200000100010007,official_site,approved,ready
43,르노 아르카나,approved,https://cdn.renault.co.kr/ko/resource/img/upload/asset/arkana/main/overview_main_pc.webp,,https://cdn.renault.co.kr/ko/model/arkana_overview.jsp?inBanner=RKMgnbOverviewArkana&inSeq=1,official_site,approved,ready
44,현대 스타리아 일렉트릭,approved,https://www.hyundaimotorgroup.com/image/upload/asset_library/MDA00000000000074534/c7a6e35586e3467d9a7b16a9c6c821c7.jpg,,https://www.hyundaimotorgroup.com/ko/news/hyundai-motor-company-new-staria-electric-limousine-launch,official_newsroom,approved,ready
45,KGM 무쏘,approved,https://www.kg-mobility.com/images/od/musso_2026.png,,https://www.kg-mobility.com/pr/model/show-room/200000200010009,official_site,approved,ready
46,현대 투싼,approved,https://www.hyundai.com/contents/repn-car/side-45/tucson-26my-45side.png,,https://www.hyundai.com/kr/ko/e/vehicles/tucson/intro,official_site,approved,ready
47,르노 필랑트,approved,https://cdn.renault.co.kr/ko/resource/img/main/img_banner_filante.webp,,https://cdn.renault.co.kr/ko/model/filante_overview.jsp,official_site,approved,ready
48,BYD SEALION 6 DM-i,approved,https://www.bydauto.kr/static/video/car/poster/byd_sealion6.jpg,,https://www.bydauto.kr/car/byd-sealion6,official_site,approved,ready
49,BMW X5,approved,https://bmw.scene7.com/is/image/BMW/BMW-SEPTEMBER2026-OFFERS-X5-xDrive40i?wid=1200&hei=800,,https://www.bmw.co.kr/ko/all-models/x-series/x5/bmw-x5.html,official_site,approved,ready
50,현대 포터2 일렉트릭,approved,https://www.hyundai.com/contents/repn-car/side-45/porter2-electric-26my-45side.png,,https://www.hyundai.com/kr/ko/e/vehicles/porter2-electric/intro,official_site,approved,ready
