rank,vehicle,brand,model,urls_count,direct_pdf_count,active,note,catalog_url,price_url,raw_urls
21,현대 더 뉴 스타리아,현대,더 뉴 스타리아,2,2,Y,직접 PDF URL,https://www.hyundai.com/contents/repn-car/catalog/staria-24-price.pdf,https://www.hyundai.com/contents/repn-car/catalog/staria-hybrid-24-price.pdf,https://www.hyundai.com/contents/repn-car/catalog/staria-24-price.pdf | https://www.hyundai.com/contents/repn-car/catalog/staria-hybrid-24-price.pdf
22,제네시스 GV70,제네시스,GV70,1,0,N,직접 PDF URL 없음 - 별도 확인 필요,,,https://www.genesis.com/kr/en/support/download-center/genesis-models.html
23,현대 아이오닉 5,현대,아이오닉 5,1,1,Y,직접 PDF URL,,https://www.hyundai.com/contents/repn-car/catalog/ioniq5-price.pdf,https://www.hyundai.com/contents/repn-car/catalog/ioniq5-price.pdf
24,기아 모닝,기아,모닝,1,1,Y,직접 PDF URL,,https://www.kia.com/content/dam/kwp/kr/ko/vehicles/pdf/price/price_morning.pdf,https://www.kia.com/content/dam/kwp/kr/ko/vehicles/pdf/price/price_morning.pdf
25,제네시스 GV80,제네시스,GV80,1,0,N,직접 PDF URL 없음 - 별도 확인 필요,,,https://www.genesis.com/kr/en/support/download-center/genesis-models.html
26,벤츠 E-Class,벤츠,E-Class,1,0,N,직접 PDF URL 없음 - 별도 확인 필요,,,https://www.mercedes-benz.co.kr/passengercars/models/price-list.html
27,BMW 5 Series,BMW,5 Series,1,0,Y,BMW 코리아 공식 모델/가격 확인 페이지,,https://www.bmw.co.kr/ko/all-models/5-series/sedan/bmw-5-series-sedan-overview.html,https://www.bmw.co.kr/ko/all-models/5-series/sedan/bmw-5-series-sedan-overview.html
28,기아 K8,기아,K8,1,1,Y,직접 PDF URL,,https://www.kia.com/content/dam/kwp/kr/ko/vehicles/pdf/price/price_k8.pdf,https://www.kia.com/content/dam/kwp/kr/ko/vehicles/pdf/price/price_k8.pdf
29,테슬라 Model 3,테슬라,Model 3,1,0,N,직접 PDF URL 없음 - 별도 확인 필요,,,https://www.tesla.com/ko_kr/model3
30,르노 필랑트,르노,필랑트,1,1,Y,직접 PDF URL,,https://www.renault.co.kr/upload/asset/price/price_rkm_202605.pdf,https://www.renault.co.kr/upload/asset/price/price_rkm_202605.pdf
31,르노 그랑 콜레오스,르노,그랑 콜레오스,1,1,Y,직접 PDF URL,,https://www.renault.co.kr/upload/asset/price/price_koleos_202601.pdf,https://www.renault.co.kr/upload/asset/price/price_koleos_202601.pdf
32,기아 EV4,기아,EV4,1,1,Y,직접 PDF URL,,https://www.kia.com/content/dam/kwp/kr/ko/vehicles/pdf/price/price_ev4.pdf,https://www.kia.com/content/dam/kwp/kr/ko/vehicles/pdf/price/price_ev4.pdf
33,KGM 무쏘,KGM,무쏘,1,1,Y,직접 PDF URL,,https://www.kg-mobility.com/attached/contents/display/file/200000200010009/20260104185705597_251IZJ.pdf,https://www.kg-mobility.com/attached/contents/display/file/200000200010009/20260104185705597_251IZJ.pdf
34,현대 아이오닉 9,현대,아이오닉 9,1,1,Y,직접 PDF URL,,https://www.hyundai.com/contents/repn-car/catalog/ioniq9-price.pdf,https://www.hyundai.com/contents/repn-car/catalog/ioniq9-price.pdf
35,현대 버스/트럭,현대,버스/트럭,0,0,N,단일 차종이 아닌 모델군,,,
36,현대 포터 II 일렉트릭,현대,포터 II 일렉트릭,1,1,Y,직접 PDF URL,,https://www.hyundai.com/contents/repn-car/catalog/porter2-electric-special-2024-price.pdf,https://www.hyundai.com/contents/repn-car/catalog/porter2-electric-special-2024-price.pdf
37,기아 레이 EV,기아,레이 EV,1,1,Y,직접 PDF URL,,https://www.kia.com/content/dam/kwp/kr/ko/vehicles/pdf/price/price_ray.pdf,https://www.kia.com/content/dam/kwp/kr/ko/vehicles/pdf/price/price_ray.pdf
38,기아 EV6,기아,EV6,1,1,Y,직접 PDF URL,,https://www.kia.com/content/dam/kwp/kr/ko/vehicles/pdf/price/price_ev6.pdf,https://www.kia.com/content/dam/kwp/kr/ko/vehicles/pdf/price/price_ev6.pdf
