rank,rank_change,brand,model,vehicle,units_sold,segment,powertrain,target_tag,image_url,price_url,catalog_url,active,note,image_file,image_source_url,image_review_status,image_source_type
14,▼1,기아,K5,기아 K5,"3,150",세단,,개인/법인/출퇴근,https://www.kia.com/content/dam/kwp/kr/ko/vehicles/represent/krdl308/k5_s_c7s.png?imwidth=800,https://www.kia.com/content/dam/kwp/kr/ko/vehicles/pdf/price/price_k5.pdf,,Y,직접 PDF URL,,https://www.kia.com/kr/vehicles/k5/features,approved,official_site
15,▼1,기아,레이,기아 레이,"2,954",경차/소형,,가성비/단기렌트/대차/도심형,https://www.kia.com/content/dam/kwp/kr/ko/vehicles/represent/krtm257/ray_s_m9y.png?imwidth=800,https://www.kia.com/content/dam/kwp/kr/ko/vehicles/pdf/price/price_ray.pdf,,Y,직접 PDF URL,,https://www.kia.com/kr/vehicles/ray/features,approved,official_site
16,▼1,기아,EV3,기아 EV3,"2,838",전기차,전기,전기차/법인/출퇴근/친환경,https://www.kia.com/content/dam/kwp/kr/ko/vehicles/represent/krsv292/ev3_s_ag3.png?imwidth=800,https://www.kia.com/content/dam/kwp/kr/ko/vehicles/pdf/price/price_ev3.pdf,,Y,직접 PDF URL,,https://www.kia.com/kr/vehicles/ev3/features,approved,official_site
17,▼1,제네시스,G80,제네시스 G80,"2,757",세단,,개인/법인/출퇴근,https://www.hyundaimotorgroup.com/image/upload/asset_library/MDA00000000000053750/68f31450859a41ca85271679a023d921.jpg,https://www.genesis.com/kr/ko/support/download-center/genesis-models.html,,Y,공식 홈페이지 다운로드 센터에서 모델 선택 후 가격표/카탈로그 확인,,https://www.hyundaimotorgroup.com/ko/news/CONT0000000000160425,approved,official_newsroom
18,▼1,현대,더 뉴 스타리아,현대 더 뉴 스타리아,"2,579",MPV,,패밀리/법인/의전/다인승,https://www.hyundai.com/contents/repn-car/side-45/staria-26pe-45side.png,https://www.hyundai.com/contents/repn-car/catalog/the-new-staria_price.pdf,https://www.hyundai.com/contents/repn-car/catalog/the-new-staria_catalog.pdf,Y,현대 공식 가격 페이지 기준 최신 가격표,,https://www.hyundai.com/kr/ko/e/vehicles/staria/intro,approved,official_site
19,▼1,현대,코나,현대 코나,"2,558",SUV,,패밀리/장기렌트/레저,https://www.hyundaimotorgroup.com/image/upload/asset_library/MDA00000000000066001/d794bf4766ef47eb8ad8a13f8e4f80e2.jpg,https://www.hyundai.com/contents/repn-car/catalog/kona-2027-price.pdf,https://www.hyundai.com/contents/repn-car/catalog/kona-catalog.pdf,Y,현대 공식 가격 페이지 기준 최신 가격표,,https://www.hyundaimotorgroup.com/ko/news/CONT0000000000182689,approved,official_newsroom
20,▼1,현대,버스/트럭,현대 버스/트럭,"2,375",상용,,업무/상용/법인,https://www.hyundai.com/ccontents/carmng/KV00000515/mighty-key-visual.jpg,https://www.hyundai.com/kr/ko/c/purchase-guid/catalog,,Y,official catalog/price page,,https://www.hyundai.com/kr/ko/c/products/truck/mighty,approved,official_site
21,▼1,기아,PV5,기아 PV5,"2,349",상용/업무용,,법인/소상공인/물류/업무용,https://www.kia.com/content/dam/kwp/kr/ko/pbv/vehicle/pv5-cargo/content/kia_pv5_cargo_usp_3_1_pc.jpg,https://www.kia.com/content/dam/kwp/kr/ko/vehicles/pdf/price/price_pv5-cargo.pdf,https://www.kia.com/content/dam/kwp/kr/ko/vehicles/pdf/price/price_pv5-passenger.pdf,Y,직접 PDF URL,,https://www.kia.com/kr/pbv/vehicles/pv5-cargo/features,approved,official_site
22,▼1,제네시스,GV70,제네시스 GV70,"2,294",SUV,,패밀리/장기렌트/레저,https://www.hyundaimotorgroup.com/image/upload/asset_library/MDA00000000000081676/a8c1afe7b6eb4a658cbdd8e83a8d649f.jpg,https://www.genesis.com/kr/ko/support/download-center/genesis-models.html,,Y,공식 홈페이지 다운로드 센터에서 모델 선택 후 가격표/카탈로그 확인,,https://www.hyundaimotorgroup.com/ko/news/genesis-2027-gv70-graphite-package,approved,official_newsroom
23,▼1,기아,봉고 3,기아 봉고 3,"2,280",상용/업무용,,법인/소상공인/물류/업무용,https://www.kia.com/content/dam/kwp/kr/ko/vehicles/represent/krb1183/bongo3_s_ud.png?imwidth=800,https://www.kia.com/content/dam/kwp/kr/ko/vehicles/pdf/price/price_bongo3.pdf,,Y,직접 PDF URL,,https://www.kia.com/kr/vehicles/bongo3/features,approved,official_site
